scope,weighting,a,b,a_less_pct,ties_pct,a_greater_pct,a_auc
India,weight,Brahmin,Brahmin,49.935076384791344,0.12984723041767884,49.93507638479099,0.4999999999999983
India,weight,Brahmin,Forward/General,46.173851563278625,0.060076649180639895,53.766071787540746,0.5379611011213107
India,weight,Brahmin,OBC,37.143226077360644,0.04829639665719282,62.80847752598218,0.6283262572431078
India,weight,Brahmin,SC,35.08020674463294,0.04114144816296382,64.87865180720411,0.6489922253128558
India,weight,Brahmin,ST,30.227392780634432,0.028318223078664693,69.74428899628691,0.6975844810782624
India,weight,Brahmin,Others,46.3574560365977,0.04796204288971582,53.59458192051258,0.5361856294195745
India,weight,Forward/General,Brahmin,53.766071787541605,0.060076649180641824,46.17385156327774,0.46203889887868066
India,weight,Forward/General,Forward/General,49.95774613742355,0.0845077251540612,49.95774613742239,0.49999999999999417
India,weight,Forward/General,OBC,40.49269745122339,0.055840587303958994,59.45146196147264,0.5947938225512462
India,weight,Forward/General,SC,38.380920174419884,0.049035469348791404,61.570044356231314,0.6159456209090571
India,weight,Forward/General,ST,32.90191343954817,0.034398034358790915,67.06368852609303,0.6708088754327243
India,weight,Forward/General,Others,50.10034577800594,0.054927771593589705,49.844726450400465,0.49872190336197264
India,weight,OBC,Brahmin,62.80847752598344,0.04829639665719521,37.14322607735936,0.3716737427568796
India,weight,OBC,Forward/General,59.451461961473974,0.05584058730396023,40.492697451222064,0.40520617744874043
India,weight,OBC,OBC,49.96912773326193,0.06174453347742282,49.96912773326064,0.49999999999999356
India,weight,OBC,SC,48.16237195484704,0.04465812934668909,51.79296991580627,0.5181529898047961
India,weight,OBC,ST,41.43395394565677,0.03290540583393342,58.533140648509296,0.5854959335142627
India,weight,OBC,Others,59.318551764674275,0.049348120836951524,40.632100114488765,0.4065677417490724
India,weight,SC,Brahmin,64.87865180720497,0.04114144816296587,35.08020674463206,0.3510077746871354
India,weight,SC,Forward/General,61.57004435623222,0.049035469348792785,38.380920174418975,0.3840543790909337
India,weight,SC,OBC,51.7929699158072,0.04465812934668944,48.16237195484611,0.4818470101951945
India,weight,SC,SC,49.96778475871575,0.06443048256912867,49.96778475871511,0.4999999999999968
India,weight,SC,ST,42.684510056322964,0.031984758375990345,57.283505185301046,0.5729949756448903
India,weight,SC,Others,61.43820948782124,0.04561907087241579,38.516171441306334,0.38538980976742543
India,weight,ST,Brahmin,69.74428899628695,0.028318223078664932,30.227392780634375,0.30241551892173707
India,weight,ST,Forward/General,67.06368852609322,0.034398034358790644,32.90191343954799,0.32919112456727384
India,weight,ST,OBC,58.533140648509665,0.032905405833932456,41.4339539456564,0.4145040664857336
India,weight,ST,SC,57.28350518530125,0.031984758375989485,42.68451005632276,0.42700502435510757
India,weight,ST,ST,49.958642023636315,0.08271595272727457,49.9586420236364,0.5000000000000003
India,weight,ST,Others,66.6787364690345,0.03189858233722271,33.28936494862826,0.3330531423979687
India,weight,Others,Brahmin,53.59458192051272,0.04796204288971535,46.35745603659756,0.4638143705804242
India,weight,Others,Forward/General,49.844726450401055,0.05492777159358881,50.10034577800535,0.5012780966380215
India,weight,Others,OBC,40.6321001144898,0.049348120836949116,59.31855176467325,0.5934322582509173
India,weight,Others,SC,38.51617144130702,0.04561907087241338,61.43820948782057,0.6146101902325678
India,weight,Others,ST,33.28936494862824,0.031898582337222384,66.67873646903453,0.6669468576020314
India,weight,Others,Others,49.802206294720264,0.3955874105594702,49.80220629472028,0.5000000000000001
India,person_weight,Brahmin,Brahmin,49.93333755655377,0.13332488689208685,49.93333755655415,0.5000000000000019
India,person_weight,Brahmin,Forward/General,48.05847491646007,0.037694752873005645,51.90383033066692,0.5192267770710343
India,person_weight,Brahmin,OBC,38.52354424114024,0.03056626199236497,61.4458894968674,0.6146117262786358
