scope,group,weighting,n,psus,weight_ess,cutoff,operator,pct
India,Brahmin,weight,2192,865,1297.3216738209455,1000,<,26.693396016336767
India,Brahmin,weight,2192,865,1297.3216738209455,2000,<,50.91253508201018
India,Brahmin,weight,2192,865,1297.3216738209455,5000,<,79.01063016778124
India,Brahmin,weight,2192,865,1297.3216738209455,10000,<,92.70184353471866
India,Forward/General,weight,9665,1671,5437.883760827966,1000,<,29.48602557907258
India,Forward/General,weight,9665,1671,5437.883760827966,2000,<,56.47355872181061
India,Forward/General,weight,9665,1671,5437.883760827966,5000,<,84.33830187016615
India,Forward/General,weight,9665,1671,5437.883760827966,10000,<,95.29704732852971
India,Not reported,weight,86,49,54.31605200370118,1000,<,18.168123338630494
India,Not reported,weight,86,49,54.31605200370118,2000,<,45.270145510849474
India,Not reported,weight,86,49,54.31605200370118,5000,<,75.62665443205498
India,Not reported,weight,86,49,54.31605200370118,10000,<,87.86381198522785
India,OBC,weight,17056,2092,8777.279611759108,1000,<,41.55147964610168
India,OBC,weight,17056,2092,8777.279611759108,2000,<,70.1672959431695
India,OBC,weight,17056,2092,8777.279611759108,5000,<,92.46949965394812
India,OBC,weight,17056,2092,8777.279611759108,10000,<,98.09395603761449
India,Others,weight,568,245,279.5597630109781,1000,<,29.53319999526013
India,Others,weight,568,245,279.5597630109781,2000,<,55.89872133185244
India,Others,weight,568,245,279.5597630109781,5000,<,81.51655531376082
India,Others,weight,568,245,279.5597630109781,10000,<,94.6975012294472
India,SC,weight,8941,1717,4425.6208801468865,1000,<,43.97836401241829
India,SC,weight,8941,1717,4425.6208801468865,2000,<,74.38751204158154
India,SC,weight,8941,1717,4425.6208801468865,5000,<,95.22063221401471
India,SC,weight,8941,1717,4425.6208801468865,10000,<,99.01623865853146
India,ST,weight,3644,690,1751.7510931421973,1000,<,54.503471791749405
India,ST,weight,3644,690,1751.7510931421973,2000,<,80.64887449624682
India,ST,weight,3644,690,1751.7510931421973,5000,<,95.02512656639458
India,ST,weight,3644,690,1751.7510931421973,10000,<,98.55441995773579
India,Brahmin,person_weight,2192,865,974.0609169756658,1000,<,30.897789330975446
India,Brahmin,person_weight,2192,865,974.0609169756658,2000,<,56.25380747956217
India,Brahmin,person_weight,2192,865,974.0609169756658,5000,<,83.87734071096426
India,Brahmin,person_weight,2192,865,974.0609169756658,10000,<,95.22413064398127
India,Forward/General,person_weight,9665,1671,4774.324975800568,1000,<,32.039429049653585
India,Forward/General,person_weight,9665,1671,4774.324975800568,2000,<,59.79576405324898
India,Forward/General,person_weight,9665,1671,4774.324975800568,5000,<,86.56468875482416
India,Forward/General,person_weight,9665,1671,4774.324975800568,10000,<,96.30292466024127
India,Not reported,person_weight,86,49,48.09121324981603,1000,<,23.25760127302724
India,Not reported,person_weight,86,49,48.09121324981603,2000,<,47.32872318002694
India,Not reported,person_weight,86,49,48.09121324981603,5000,<,81.3117507262173
India,Not reported,person_weight,86,49,48.09121324981603,10000,<,93.83466095975741
India,OBC,person_weight,17056,2092,7196.655428412188,1000,<,45.379712301682346
India,OBC,person_weight,17056,2092,7196.655428412188,2000,<,73.53484282373142
India,OBC,person_weight,17056,2092,7196.655428412188,5000,<,93.98789658749874
India,OBC,person_weight,17056,2092,7196.655428412188,10000,<,98.53695402292946
India,Others,person_weight,568,245,281.50958801166394,1000,<,32.98439906096296
India,Others,person_weight,568,245,281.50958801166394,2000,<,59.95340899689447
India,Others,person_weight,568,245,281.50958801166394,5000,<,84.40749804527897
India,Others,person_weight,568,245,281.50958801166394,10000,<,95.8621928770709
India,SC,person_weight,8941,1717,4014.445062513408,1000,<,47.41509566863754
India,SC,person_weight,8941,1717,4014.445062513408,2000,<,77.44014773408388
India,SC,person_weight,8941,1717,4014.445062513408,5000,<,96.09327038489162
India,SC,person_weight,8941,1717,4014.445062513408,10000,<,99.30259093694573
India,ST,person_weight,3644,690,1702.8764172127617,1000,<,59.99131377462296
India,ST,person_weight,3644,690,1702.8764172127617,2000,<,83.20162134563371
India,ST,person_weight,3644,690,1702.8764172127617,5000,<,95.91261173438139
India,ST,person_weight,3644,690,1702.8764172127617,10000,<,98.97930447793033
Rural India,Brahmin,weight,1135,399,568.3144409120513,1000,<,39.6952315045893
Rural India,Brahmin,weight,1135,399,568.3144409120513,2000,<,67.0194413563873
Rural India,Brahmin,weight,1135,399,568.3144409120513,5000,<,89.43469603686654
Rural India,Brahmin,weight,1135,399,568.3144409120513,10000,<,97.1717561788467
Rural India,Forward/General,weight,5548,855,2528.690085037778,1000,<,40.733449282607516
Rural India,Forward/General,weight,5548,855,2528.690085037778,2000,<,68.89107051553559
Rural India,Forward/General,weight,5548,855,2528.690085037778,5000,<,90.66677612277705
Rural India,Forward/General,weight,5548,855,2528.690085037778,10000,<,97.35271694292507
Rural India,Not reported,weight,29,17,18.224961735978187,1000,<,23.27601542387564
Rural India,Not reported,weight,29,17,18.224961735978187,2000,<,55.35658871408267
Rural India,Not reported,weight,29,17,18.224961735978187,5000,<,78.56138782288748
Rural India,Not reported,weight,29,17,18.224961735978187,10000,<,88.24856462657316
Rural India,OBC,weight,11103,1176,4828.103440308841,1000,<,50.90956060572769
Rural India,OBC,weight,11103,1176,4828.103440308841,2000,<,78.60665316560649
Rural India,OBC,weight,11103,1176,4828.103440308841,5000,<,95.81360551466554
Rural India,OBC,weight,11103,1176,4828.103440308841,10000,<,98.92904402696969
Rural India,Others,weight,337,136,141.68908587112227,1000,<,35.03489634188495
Rural India,Others,weight,337,136,141.68908587112227,2000,<,55.61993602306667
Rural India,Others,weight,337,136,141.68908587112227,5000,<,79.35647018854664
Rural India,Others,weight,337,136,141.68908587112227,10000,<,95.41942545736075
Rural India,SC,weight,6298,1067,2782.719895857424,1000,<,52.289476761791676
Rural India,SC,weight,6298,1067,2782.719895857424,2000,<,81.91430692453508
Rural India,SC,weight,6298,1067,2782.719895857424,5000,<,97.90281075935012
Rural India,SC,weight,6298,1067,2782.719895857424,10000,<,99.50360029025535
Rural India,ST,weight,3129,486,1465.838350359906,1000,<,58.63665072721811
Rural India,ST,weight,3129,486,1465.838350359906,2000,<,84.86562329549916
Rural India,ST,weight,3129,486,1465.838350359906,5000,<,96.871309703829
Rural India,ST,weight,3129,486,1465.838350359906,10000,<,99.11627845160379
Rural India,Brahmin,person_weight,1135,399,437.0807217869906,1000,<,44.29324048034632
Rural India,Brahmin,person_weight,1135,399,437.0807217869906,2000,<,70.6775642073037
Rural India,Brahmin,person_weight,1135,399,437.0807217869906,5000,<,92.50707917674717
Rural India,Brahmin,person_weight,1135,399,437.0807217869906,10000,<,98.35137620870873
Rural India,Forward/General,person_weight,5548,855,2289.1709100344933,1000,<,43.10652107530464
Rural India,Forward/General,person_weight,5548,855,2289.1709100344933,2000,<,70.9478641955095
Rural India,Forward/General,person_weight,5548,855,2289.1709100344933,5000,<,91.87802153598915
Rural India,Forward/General,person_weight,5548,855,2289.1709100344933,10000,<,97.89894258546286
Rural India,Not reported,person_weight,29,17,18.407390869571035,1000,<,30.170175408951682
Rural India,Not reported,person_weight,29,17,18.407390869571035,2000,<,54.754632706774146
Rural India,Not reported,person_weight,29,17,18.407390869571035,5000,<,84.15395473999766
Rural India,Not reported,person_weight,29,17,18.407390869571035,10000,<,95.85817731626545
Rural India,OBC,person_weight,11103,1176,3956.219748345684,1000,<,55.178620412493494
Rural India,OBC,person_weight,11103,1176,3956.219748345684,2000,<,81.27426666057377
Rural India,OBC,person_weight,11103,1176,3956.219748345684,5000,<,96.59833977681069
Rural India,OBC,person_weight,11103,1176,3956.219748345684,10000,<,99.13453265051339
Rural India,Others,person_weight,337,136,146.1054789303376,1000,<,38.435921469418545
Rural India,Others,person_weight,337,136,146.1054789303376,2000,<,59.203569061488196
Rural India,Others,person_weight,337,136,146.1054789303376,5000,<,82.26781344947509
Rural India,Others,person_weight,337,136,146.1054789303376,10000,<,96.36929035583964
Rural India,SC,person_weight,6298,1067,2522.5692754825227,1000,<,56.31500624881932
Rural India,SC,person_weight,6298,1067,2522.5692754825227,2000,<,84.90748661477517
Rural India,SC,person_weight,6298,1067,2522.5692754825227,5000,<,98.31582052493928
Rural India,SC,person_weight,6298,1067,2522.5692754825227,10000,<,99.64588758039856
Rural India,ST,person_weight,3129,486,1428.2259399629672,1000,<,64.54569184671642
Rural India,ST,person_weight,3129,486,1428.2259399629672,2000,<,87.58839641959992
Rural India,ST,person_weight,3129,486,1428.2259399629672,5000,<,97.54315100251888
Rural India,ST,person_weight,3129,486,1428.2259399629672,10000,<,99.45041873455523
Bihar,Brahmin,weight,62,33,40.55310623156616,1000,<,45.866449837016795
Bihar,Brahmin,weight,62,33,40.55310623156616,2000,<,68.85234877685414
Bihar,Brahmin,weight,62,33,40.55310623156616,5000,<,85.49469646836728
Bihar,Brahmin,weight,62,33,40.55310623156616,10000,<,97.70520181954149
Bihar,Forward/General,weight,222,60,126.52980126554029,1000,<,54.56387287250196
Bihar,Forward/General,weight,222,60,126.52980126554029,2000,<,80.6910370668645
Bihar,Forward/General,weight,222,60,126.52980126554029,5000,<,93.45827128726164
Bihar,Forward/General,weight,222,60,126.52980126554029,10000,<,98.41045564261928
Bihar,OBC,weight,924,89,523.6967965740886,1000,<,61.994484501570376
Bihar,OBC,weight,924,89,523.6967965740886,2000,<,86.96891979833119
Bihar,OBC,weight,924,89,523.6967965740886,5000,<,97.93835197362654
Bihar,OBC,weight,924,89,523.6967965740886,10000,<,99.14296954549857
Bihar,SC,weight,313,69,193.79361539007712,1000,<,76.15949706471302
Bihar,SC,weight,313,69,193.79361539007712,2000,<,95.4615843158083
Bihar,SC,weight,313,69,193.79361539007712,5000,<,99.03115068731944
Bihar,SC,weight,313,69,193.79361539007712,10000,<,99.50791671882429
Bihar,ST,weight,26,12,20.409755266453143,1000,<,72.34603233262153
Bihar,ST,weight,26,12,20.409755266453143,2000,<,92.8980436208883
Bihar,ST,weight,26,12,20.409755266453143,5000,<,100.0
Bihar,ST,weight,26,12,20.409755266453143,10000,<,100.0
Bihar,Brahmin,person_weight,62,33,29.09381374578713,1000,<,48.25040657141008
Bihar,Brahmin,person_weight,62,33,29.09381374578713,2000,<,69.91881144592004
Bihar,Brahmin,person_weight,62,33,29.09381374578713,5000,<,89.77378640919827
Bihar,Brahmin,person_weight,62,33,29.09381374578713,10000,<,99.6172424464392
Bihar,Forward/General,person_weight,222,60,106.55010380037197,1000,<,57.43461312014768
Bihar,Forward/General,person_weight,222,60,106.55010380037197,2000,<,82.48096991034912
Bihar,Forward/General,person_weight,222,60,106.55010380037197,5000,<,94.98757248319136
Bihar,Forward/General,person_weight,222,60,106.55010380037197,10000,<,98.69804273018146
Bihar,OBC,person_weight,924,89,469.0490427367414,1000,<,67.64227898804089
Bihar,OBC,person_weight,924,89,469.0490427367414,2000,<,89.16200404973314
Bihar,OBC,person_weight,924,89,469.0490427367414,5000,<,98.59394419838722
Bihar,OBC,person_weight,924,89,469.0490427367414,10000,<,99.45591589638332
Bihar,SC,person_weight,313,69,180.5587383339417,1000,<,81.95493994509518
Bihar,SC,person_weight,313,69,180.5587383339417,2000,<,97.2202521292718
Bihar,SC,person_weight,313,69,180.5587383339417,5000,<,99.47480481881315
Bihar,SC,person_weight,313,69,180.5587383339417,10000,<,99.84857302519869
Bihar,ST,person_weight,26,12,18.10061546556358,1000,<,75.52388734105658
Bihar,ST,person_weight,26,12,18.10061546556358,2000,<,94.74271728445996
Bihar,ST,person_weight,26,12,18.10061546556358,5000,<,100.0
Bihar,ST,person_weight,26,12,18.10061546556358,10000,<,100.0
