outcome,group,pooled_quantile,threshold,percent_strictly_below
owned_land_acres,Others,0.25,0.02,12.244203174282047
owned_land_acres,Others,0.5,0.38,42.48301542018636
owned_land_acres,Others,0.75,1.54,68.41956302454284
owned_land_acres,ST,0.25,0.02,15.120890009762425
owned_land_acres,ST,0.5,0.38,37.138274031436644
owned_land_acres,ST,0.75,1.54,67.17349157139274
owned_land_acres,SC,0.25,0.02,21.876113870223264
owned_land_acres,SC,0.5,0.38,67.59885815760151
owned_land_acres,SC,0.75,1.54,88.08402427406354
owned_land_acres,OBC,0.25,0.02,15.811351855020241
owned_land_acres,OBC,0.5,0.38,48.51871882569237
owned_land_acres,OBC,0.75,1.54,73.65244468970485
consumption_pc_monthly,Others,0.25,1289.5,14.174763410660669
consumption_pc_monthly,Others,0.5,1694.25,36.5697888244074
consumption_pc_monthly,Others,0.75,2250.0,62.902311086336546
consumption_pc_monthly,ST,0.25,1289.5,40.8362359199474
consumption_pc_monthly,ST,0.5,1694.25,66.40806082820704
consumption_pc_monthly,ST,0.75,2250.0,87.04785123176832
consumption_pc_monthly,SC,0.25,1289.5,28.80351761266472
consumption_pc_monthly,SC,0.5,1694.25,54.7884210356306
consumption_pc_monthly,SC,0.75,2250.0,79.25244639408928
consumption_pc_monthly,OBC,0.25,1289.5,24.02964129976023
consumption_pc_monthly,OBC,0.5,1694.25,49.68927312488478
consumption_pc_monthly,OBC,0.75,2250.0,74.47264932128834
